央视频道,#genre#
兰州新闻综合蓝光,http://39.134.39.39/PLTV/88888888/224/3221226242/index.m3u8
兰州综艺体育蓝光,http://39.134.39.39/PLTV/88888888/224/3221226246/index.m3u8
浙江柯桥综合,http://live.scbtv.cn/hls/news/index.m3u8
浙江柯桥时尚,http://live.scbtv.cn/hls/qfc/index.m3u8
浙江影视台,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江少儿台,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江教育台,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江钱江台,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江休闲台,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江经济台,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江新闻台,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江留学世界台,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
浙江舟山综合台,http://live.wifizs.cn/xwzh/sd/live.m3u8
浙江舟山生活台,http://live.wifizs.cn/ggsh/sd/live.m3u8
浙江绍兴综合台,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
浙江绍兴影视台,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
浙江绍兴公共台,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
浙江6套FHD,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8?k=7902d458851930a3cab9763349e1425c&t=1577153702
浙江公共FHD,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8?k=4812130c6c3788cf5c6a6ba64a47678c&t=1577153743
浙江国际FHD,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8?k=48877e6c28c2a0215eb8712eb48b888d&t=1577153884
浙江经视FHD,http://yd-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8?k=3bc164885721feecc386b066a39b8567&t=1577153471
浙江影视娱乐FHD,http://yd-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8?k=79b277c166767a9e072b9629b446d4e9&t=1577153637
湖北黄冈新闻频道,http://huanggang.live.cjyun.org/video/s10120-xwzh.m3u8
湖北襄阳综合,http://xiangyang.live.cjyun.org/video/s10125-news_hd/index.m3u8
湖北襄阳公共,http://xiangyang.live.cjyun.org/video/s10125-education_hd/index.m3u8
湖北孝感新闻综合,http://xiaogan.live.cjyun.org/video/s10139-xg/index.m3u8
湖北孝感公共频道,http://xiaogan.live.cjyun.org/video/s10139-shpd/index.m3u8
湖北鄂州新闻综合,http://ezhou.live.cjyun.org/video/s10098-EZ2T/index.m3u8
湖北鄂州公共频道,http://ezhou.live.cjyun.org/video/s10098-EZ1T/index.m3u8
湖北咸宁综合频道,http://xianning.live.cjyun.org/video/s10140-XNTV-1/index.m3u8
湖北孝昌新闻党建,http://xiaochang.live.cjyun.org/video/s10128-xcxw/index.m3u8
湖北孝昌生活频道,http://xiaochang.live.cjyun.org/video/s10128-xcsh/index.m3u8
湖北红安综合,http://hongan.live.cjyun.org/video/s10063-HAZH.m3u8
湖北大悟综合,http://yunshangdawu.live.tempsource.cjyun.org/videotmp/s10129-dwzhpd.m3u8
湖北应城新闻综合,http://yingcheng.live.cjyun.org/video/s10135-YCZH/index.m3u8
湖北应城生活频道,http://yingcheng.live.cjyun.org/video/s10135-YCDJ/index.m3u8
湖北秭归新闻综合,http://zigui.live.cjyun.org/video/s10111-ZGTV1.m3u8
湖北大冶一套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC1T.m3u8
湖北大冶二套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC2T.m3u8
湖北嘉鱼新闻综合,http://jiayu.live.tempsource.cjyun.org/videotmp/s10131-jyzh.m3u8
湖北鹤峰综合频道,http://hefeng.live.tempsource.cjyun.org/videotmp/s10100-hftv.m3u8
湖北广水新闻频道,http://guangshui.live.tempsource.cjyun.org/videotmp/s10146-GSXW.m3u8
湖北咸宁综合,http://xianning.live.cjyun.org/video/s10140-XNGG.flv
湖北咸宁公共频道,http://xianning.live.cjyun.org/video/s10140-XNTV-1.flv
湖南娄底综合台,http://mms.ldntv.cn:1935/live/zonghe/playlist.m3u8
湖南长沙影视台,http://35848.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_350.m3u8
湖南湘西综合台,http://36514.hlsplay.aodianyun.com/tv_radio_36514/tv_channel_1382.m3u8
湖南湘西公共台,http://36514.hlsplay.aodianyun.com/tv_radio_36514/tv_channel_1381.m3u8
湖南湘潭综合台,http://live.hnxttv.com:9601/live/xwzh/800K/tzwj_video.m3u8
湖南张家界公共,http://stream.zjjrtv.com/zjjtv2/hd/live.m3u8
南京新闻综合,http://live.nbs.cn/channels/njtv/xwzh/m3u8:500k/live.m3u8
江苏徐州1HD,http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221225945/index.m3u8
江苏徐州2HD,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221225947/index.m3u8
江苏徐州3HD,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225949/index.m3u8
江苏徐州4FHD,http://183.207.248.11/PLTV/3/224/3221225951/index.m3u8
江苏徐州综合,http://stream1.huaihai.tv/xwzh/playlist.m3u8
江苏徐州生活,http://stream1.huaihai.tv/jjsh/playlist.m3u8
江苏综艺,http://183.207.248.71/gitv/live1/G_JSZY/G_JSZY
江苏徐州影视,http://183.207.248.15/PLTV/3/224/3221225949/index.m3u8
江苏徐州公共,http://stream1.huaihai.tv/ggpd/playlist.m3u8
江苏吴江综合台,http://30515.hlsplay.aodianyun.com/lms_30515/tv_channel_239.m3u8
江苏张家港综合,http://3gvod.zjgonline.com.cn:1935/live/xinwenzonghe2/playlist.m3u8
江苏张家港民生,http://3gvod.zjgonline.com.cn:1935/live/shehuishenghuo2/playlist.m3u8
江苏连云港综合,http://live.lyg1.com/zhpd/sd/live.m3u8
江苏连云港公共,http://live.lyg1.com/ggpd/sd/live.m3u8
江苏淮安综合,http://stream.habctv.com/xwzh/sd/live.m3u8
江苏淮安公共,http://stream.habctv.com/hagg/sd/live.m3u8
江苏淮安影视,http://stream.habctv.com/ysyl/sd/live.m3u8
江苏体育休闲,http://183.207.248.71/gitv/live1/G_JSTY/G_JSTY
杭州综合,http://112.17.40.140/PLTV/88888888/224/3221226170/index.m3u8
杭州1综合,http://117.148.187.37/PLTV/88888888/224/3221226170/index.m3u8
杭州1HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229307/index.m3u8
杭州2HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229310/index.m3u8
杭州3HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229313/index.m3u8
杭州4HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229377/index.m3u8
杭州5HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229316/index.m3u8
